Country,Place,Start date,End date,Level,lat,lon
Albania,Albania,2020-03-13,2020-06-01,National,41.153332,20.168331
Algeria,Algeria,2020-03-23,2020-05-14,City,28.033886,1.659626
Argentina,Argentina,2020-03-19,2020-06-28,National,-38.416097,-63.61667199999999
Armenia,Armenia,2020-03-24,2020-05-04,National,40.069099,45.038189
Australia,Australia,2020-03-23,,National,-25.274398,133.775136
Austria,Austria,2020-03-16,2020-04-13,National,47.516231,14.550072
Azerbaijan,Azerbaijan,2020-03-31,2020-08-30,National,40.143105,47.576927
Bangladesh,Bangladesh,2020-03-26,2020-05-16,National,23.684994,90.356331
Barbados,Barbados,2020-03-28,2020-05-03,National,13.193887,-59.543198
Belgium,Belgium,2020-03-18,2020-05-04 ,National,50.503887,4.469936
Bermuda,Bermuda,2020-04-04,2020-05-02,National,32.3078,-64.7505
Bolivia,Bolivia,2020-03-22,2020-07-31,National,-16.290154,-63.58865299999999
Botswana,Botswana,2020-04-02,2020-04-30,National,-22.328474,24.684866
Brazil,Santa Catarina,2020-03-17,2020-04-07,State,-27.2423392,-50.2188556
Brazil,São Paulo,2020-03-24,2020-05-10,State,-23.5505199,-46.63330939999999
Colombia,Colombia,2020-03-25,2020-06-30,National,4.570868,-74.297333
Republic of the Congo,Republic of the Congo,2020-03-31,2020-04-20,National,-0.228021,15.827659
Costa Rica,Costa Rica,2020-03-23,,National,9.748916999999999,-83.753428
Croatia,Croatia,2020-03-18,2020-04-19,National,45.1,15.2000001
Czech Republic,Czech Republic,2020-03-16,2020-04-12,National,49.81749199999999,15.472962
Ecuador,Ecuador,2020-03-16,2020-03-31,National,-1.831239,-78.18340599999999
El Salvador,El Salvador,2020-03-12,2020-04-02,National,13.794185,-88.89653
Eritrea,Eritrea,2020-04-02,2020-04-23,National,15.179384,39.782334
Fiji,Lautoka,2020-03-20,2020-04-07,City,-17.6169957,177.4504888
Fiji,Suva,2020-04-03,2020-04-17,City,-18.1248086,178.4500789
France,France,2020-03-17,2020-05-11,National,46.227638,2.213749
Georgia,Georgia,2020-03-31,2020-04-21,National,33.7541825,-84.390626
Germany,Germany,2020-03-23[a],2020-04-20to 2020-05-10,National,51.165691,10.451526
Ghana,Accra,2020-03-30,2020-04-12,Metropolitan Area,5.6037168,-0.1869644
Ghana,Kumasi,2020-03-30,2020-04-12,Metropolitan Area,6.6666004,-1.6162709
Greece,Greece,2020-03-23,2020-05-04,National,39.074208,21.824312
Guernsey,Guernsey,2020-03-25,,National,49.4481982,-2.58949
Honduras,Honduras,2020-03-20,2020-05-17,National,15.199999,-86.241905
Hungary,Hungary,2020-03-28,2020-04-10,National,47.162494,19.5033041
India,India,2020-03-25,2020-06-30,National,20.593684,78.96288
Iran,Iran,2020-03-14,2020-04-20,National,32.427908,53.688046
Iraq,Iraq,2020-03-22,2020-04-11,National,33.223191,43.679291
Ireland,Ireland,2020-03-12,2020-05-18,National,53.1423672,-7.692053599999999
